"label" "u-r" "F378-r" "F395-r" "F410-r" "F430-r" "g-r" "F515-r" "r-F660" "r-i" "r-F861" "r-z"
"Ech1.30Zm0.35T00.0800_iTp0.00_baseFe.sed" 1 0.790610486774924 0.522936313456171 0.237980915747499 0.10478530724771 0.112956138190469 0.0730766693922646 0.0698678961191206 0.021738043659397 -0.0728539560770542 -0.0935152739450871 0.507885914923065
"Ech1.30Zm0.35T00.0900_iTp0.00_baseFe.sed" 1 0.805412786140863 0.525937542207515 0.233748138531013 0.0995434393032895 0.107149046239215 0.067903564644908 0.0653846761381516 0.0237022796437714 -0.0719567257125533 -0.0871339631145531 0.513205239755365
"Ech1.30Zm0.35T00.1000_iTp0.00_baseFe.sed" 1 0.792736930623434 0.504614097403802 0.204114731141303 0.070567355385279 0.0805830378609187 0.048404803974222 0.0498538450840869 0.0281494102405304 -0.0685676787625056 -0.0824323845004216 0.517055046806973
"Ech1.30Zm0.35T00.1500_iTp0.00_baseFe.sed" 1 0.889715644746445 0.580334989336293 0.242669093409887 0.0835932097188135 0.0919659005174651 0.0509247211338248 0.0440667307970699 0.0334482803965841 -0.064616157447972 -0.0722381738725772 -0.0942728852458146
"Ech1.30Zm0.35T00.2000_iTp0.00_baseFe.sed" 1 0.944910088618627 0.608293209252508 0.234553122444822 0.0633399393046972 0.0747126323236387 0.034191640600099 0.0273255510428783 0.0419056051404709 -0.057746361257017 -0.0639012951370717 -0.0844589589755032
"Ech1.30Zm0.35T00.2500_iTp0.00_baseFe.sed" 1 1.02480751065229 0.658809402942538 0.259135395579079 0.073824194017746 0.0829729604290748 0.0368799087824527 0.0255054167957809 0.0451909573367004 -0.059040731434834 -0.0644872289378355 -0.0947684918665885
"Ech1.30Zm0.35T00.3000_iTp0.00_baseFe.sed" 1 1.07700559922462 0.701361611866474 0.285404638850238 0.0872238723760432 0.0931649149103748 0.0422485130217041 0.0277344641149995 0.0464187075470761 -0.0621176879541423 -0.0670755406568588 -0.101437705557203
"Ech1.30Zm0.35T00.3500_iTp0.00_baseFe.sed" 1 1.13858597665363 0.748140965612748 0.316740117944249 0.105831165611264 0.108871046287149 0.0517157273964983 0.0320483105920175 0.0455156195622664 -0.066420590786791 -0.0692366903499959 -0.106854964793925
"Ech1.30Zm0.35T00.4000_iTp0.00_baseFe.sed" 1 1.19803295678474 0.79270304208589 0.348322266822578 0.124840051847002 0.124389326626229 0.060692705223758 0.0356539144040937 0.0456788574343818 -0.0671782463759456 -0.0683461287600409 -0.106360161960254
"Ech1.30Zm0.35T00.4500_iTp0.00_baseFe.sed" 1 1.25825194356629 0.831045913554178 0.378125290073797 0.145101829384316 0.141679522729859 0.0719260466077856 0.0419777685990681 0.0436691221866141 -0.0733188476454245 -0.0776513771326393 -0.125951053112914
"Ech1.30Zm0.35T00.5000_iTp0.00_baseFe.sed" 1 1.30391786404054 0.878282479716574 0.422048019695382 0.175786289551624 0.167869046126398 0.0886562091424707 0.052434786118809 0.0409234221017272 -0.0816685891067266 -0.0860928241889951 -0.14390726225929
"Ech1.30Zm0.35T00.6000_iTp0.00_baseFe.sed" 1 1.38881759031224 0.96626857554449 0.517803458735045 0.242355268225893 0.223570332852077 0.122961088974634 0.0705873631398646 0.0374869263926314 -0.0949399277480296 -0.106843680550725 -0.182377353442092
"Ech1.30Zm0.35T00.7000_iTp0.00_baseFe.sed" 1 1.43244032851656 1.01886864895964 0.593172999336801 0.304682855869061 0.280023592936004 0.161144678398173 0.0969104673628465 0.0293323628435331 -0.112358517854332 -0.129621214480053 -0.20902030677145
